CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2018-05-05,6:15,QUEENS,11373,40.735622,-73.88392,"(40.735622, -73.88392)",,,51-67     MANILLA STREET                ,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3895305,Garbage or Refuse,Station Wagon/Sport Utility Vehicle,,,
2015-04-17,13:00,BROOKLYN,11236,40.6448524,-73.9111168,"(40.6448524, -73.9111168)",REMSEN AVENUE                   ,FOSTER AVENUE                   ,,0.0,0.0,0,0,0,0,0,0,Outside Car Distraction,Driver Inattention/Distraction,,,,3204134,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2022-02-10,8:55,,,,,,BORDEN AVENUE,MAURICE AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4501567,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-04-01,2:30,BRONX,10460,40.845634,-73.8848,"(40.845634, -73.8848)",,,2077      SOUTHERN BOULEVARD            ,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,Unspecified,,,4106564,Sedan,Sedan,Sedan,,
2014-12-20,4:05,BROOKLYN,11228,40.6028137,-74.01452,"(40.6028137, -74.01452)",16 AVENUE                       ,SHORE PARKWAY                   ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3140192,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2020-08-10,11:40,BROOKLYN,11231,40.6788,-74.00948,"(40.6788, -74.00948)",,,73B       VISITATION PLACE              ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4338946,Sedan,,,,
2012-07-05,18:05,QUEENS,11374,40.7195434,-73.8591303,"(40.7195434, -73.8591303)",66 AVENUE                       ,ALDERTON STREET                 ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,264106,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
2019-06-25,13:10,QUEENS,11104,40.743156,-73.91871,"(40.743156, -73.91871)",QUEENS BOULEVARD                ,46 STREET,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4158450,Station Wagon/Sport Utility Vehicle,,,,
2015-09-13,10:55,MANHATTAN,10011,40.7434485,-74.0035402,"(40.7434485, -74.0035402)",WEST 18 STREET                  ,9 AVENUE                        ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3296153,PASSENGER VEHICLE,UNKNOWN,,,
2018-08-10,22:19,BRONX,10453,40.845154,-73.91195,"(40.845154, -73.91195)",CROSS BRONX EXPRESSWAY          ,WALTON AVENUE,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3959865,Sedan,Station Wagon/Sport Utility Vehicle,,,
2023-03-17,17:39,MANHATTAN,10002,40.72293,-73.98865,"(40.72293, -73.98865)",EAST HOUSTON STREET,1 AVENUE,,2.0,0.0,2,0,0,0,0,0,Turning Improperly,,,,,4620371,FORD F-150,,,,
2018-08-04,17:20,QUEENS,11377,40.741673,-73.895744,"(40.741673, -73.895744)",69 STREET                       ,43 AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3954642,Sedan,,,,
2021-07-07,18:48,BROOKLYN,11219,40.627956,-74.00165,"(40.627956, -74.00165)",,,1235      63 STREET,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4435015,Sedan,Dump,,,
